x,y,z
609085.148272,4060360.51713,-59.4292198871
608785.148272,4060360.51713,-55.092576895
613585.148272,4056312.64445,-36.3335235519
613885.148272,4056550.75461,-37.1844108142
613585.148272,4056550.75461,-48.144889878
611485.148272,4058455.63587,-47.1915029398
611185.148272,4058455.63587,-42.4589602791
609385.148272,4064408.38982,-45.4673314316
609685.148272,4064408.38982,-43.1063392083
609685.148272,4064646.49997,-42.9929031295
609385.148272,4064646.49997,-45.9173522318
610585.148272,4058693.74603,-38.2260615553
610885.148272,4058693.74603,-39.4174681363
610885.148272,4058931.85619,-41.4400742704
610585.148272,4058931.85619,-39.3118065399
606985.148272,4063455.94919,-71.581917877
607285.148272,4063455.94919,-76.7648813475
606385.148272,4063455.94919,-75.9249027611
606685.148272,4063455.94919,-71.8981313563
606385.148272,4063694.05934,-71.4922968228
609685.148272,4059169.96635,-45.3085840863
609985.148272,4059408.0765,-50.5037091392
609085.148272,4059646.18666,-38.1871517941
607285.148272,4064170.27966,-68.7664222007
612085.148272,4058455.63587,-57.3597238144
611785.148272,4058455.63587,-52.4766136349
608185.148272,4062741.61871,-67.3857445247
608485.148272,4062741.61871,-62.7556146946
608785.148272,4059884.29682,-43.7594258282
610285.148272,4059408.0765,-47.2106670761
609685.148272,4064170.27966,-44.1394645171
610585.148272,4062741.61871,-41.6708334047
610585.148272,4058455.63587,-27.9460084027
610885.148272,4058455.63587,-33.4854657715
606985.148272,4063217.83903,-74.8199254577
607285.148272,4063217.83903,-77.6343713647
609685.148272,4059884.29682,-48.2268573444
608485.148272,4061789.17808,-55.0680574739
608185.148272,4061789.17808,-58.110237327
606385.148272,4063217.83903,-76.9424390892
606685.148272,4063217.83903,-74.7423707719
609685.148272,4058931.85619,-40.7288551282
611185.148272,4063217.83903,-40.4061407805
610885.148272,4063217.83903,-40.1592883721
609385.148272,4060360.51713,-52.8713264406
612385.148272,4057979.41556,-55.2022501855
610585.148272,4062979.72887,-41.2824842224
610585.148272,4063217.83903,-41.0128423285
611785.148272,4057503.19524,-44.2085003627
611785.148272,4057741.3054,-48.7697729286
608785.148272,4059646.18666,-40.2319118457
607585.148272,4063694.05934,-76.7029533538
607585.148272,4063932.1695,-74.8588065266
607585.148272,4064170.27966,-72.6012784221
612385.148272,4058217.52571,-58.8656635406
612385.148272,4058455.63587,-60.8220359696
608785.148272,4062741.61871,-58.8180864759
608785.148272,4062979.72887,-59.5585336344
608785.148272,4063217.83903,-60.2503231191
610585.148272,4059169.96635,-39.6019090013
610585.148272,4059408.0765,-45.6044391774
609985.148272,4064170.27966,-42.1123827923
609985.148272,4064408.38982,-41.4781697129
609985.148272,4064646.49997,-41.2846245057
611185.148272,4062265.3984,-44.7105310509
611185.148272,4062503.50855,-42.8059051737
611185.148272,4058693.74603,-40.7999749789
611185.148272,4058931.85619,-42.8452272437
607585.148272,4063217.83903,-78.0484129672
607585.148272,4063455.94919,-77.8744063329
609985.148272,4059646.18666,-51.2196603065
609985.148272,4059884.29682,-51.7512498123
608785.148272,4061312.95777,-51.8134161267
608785.148272,4061551.06792,-52.2126909782
608785.148272,4061789.17808,-53.599637896
609685.148272,4060122.40698,-49.4892378661
609685.148272,4060360.51713,-52.1548406998
611485.148272,4063217.83903,-41.4756970964
