x,y,z
611485.148272,4057979.41556,-20.2408784082
611485.148272,4058217.52571,-24.382361627
611185.148272,4058217.52571,-23.0946662925
609985.148272,4062741.61871,-29.605252098
610285.148272,4062741.61871,-25.2492962665
610285.148272,4062979.72887,-24.325028511
609985.148272,4062979.72887,-29.9543741447
611185.148272,4062741.61871,-28.4602536143
611185.148272,4062979.72887,-28.632869081
611785.148272,4060360.51713,-52.4101446976
611785.148272,4060598.62729,-53.735270082
610585.148272,4058455.63587,-26.8869913803
610885.148272,4058455.63587,-25.8942039105
610885.148272,4058693.74603,-27.3899840367
610585.148272,4058693.74603,-27.6578901304
611785.148272,4061312.95777,-55.3620389947
612385.148272,4057503.19524,-7.13232409032
612685.148272,4057503.19524,-11.7303767042
612685.148272,4057741.3054,-17.2371332582
612385.148272,4057741.3054,-12.1994143321
611185.148272,4061312.95777,-36.3976060821
611485.148272,4061312.95777,-36.8294962856
611485.148272,4061551.06792,-37.350663586
611185.148272,4061551.06792,-41.4769740693
609085.148272,4059884.29682,-28.2040810423
609385.148272,4059884.29682,-25.3598265427
609385.148272,4060122.40698,-26.4479759374
609085.148272,4060122.40698,-28.8664788244
610885.148272,4062265.3984,-32.768807723
611185.148272,4062265.3984,-37.1912921235
611185.148272,4062503.50855,-32.6414916965
610885.148272,4062503.50855,-26.8127298644
608485.148272,4061312.95777,-40.8697414392
608785.148272,4061312.95777,-39.3114178348
608785.148272,4061551.06792,-40.0710711049
608485.148272,4061551.06792,-41.831496917
609385.148272,4064408.38982,-44.9810746802
609085.148272,4064408.38982,-49.7710750837
608185.148272,4062979.72887,-52.9716757822
608485.148272,4062979.72887,-50.5947058713
608485.148272,4063217.83903,-52.3372962252
608185.148272,4063217.83903,-54.6390471363
608785.148272,4060122.40698,-33.0144465908
609085.148272,4060360.51713,-30.4077055844
608785.148272,4060360.51713,-34.1573332273
613585.148272,4056312.64445,-25.117132462
613885.148272,4056550.75461,-36.7188101722
613585.148272,4056550.75461,-26.726980981
609985.148272,4059169.96635,-27.7337004035
610285.148272,4059169.96635,-25.9218622993
610285.148272,4059408.0765,-24.7532110766
609985.148272,4059408.0765,-25.0403985117
609685.148272,4064408.38982,-39.1581752325
609685.148272,4064646.49997,-36.1982248468
609385.148272,4064646.49997,-38.6843514823
611785.148272,4059646.18666,-47.5874462261
612085.148272,4059646.18666,-57.5167566884
609385.148272,4059646.18666,-26.8970248848
609685.148272,4059646.18666,-26.685363368
609685.148272,4059884.29682,-25.2378961714
611185.148272,4058693.74603,-28.6480824619
611485.148272,4058693.74603,-31.5875634129
611485.148272,4058931.85619,-34.2107058031
611185.148272,4058931.85619,-30.3660365329
609685.148272,4059169.96635,-33.9568369026
609685.148272,4059408.0765,-29.6704761639
609385.148272,4059408.0765,-35.9666883434
609985.148272,4064408.38982,-35.1232674548
609985.148272,4064646.49997,-34.9484158931
607885.148272,4064408.38982,-60.6716004811
608185.148272,4064408.38982,-58.8354452941
608185.148272,4064646.49997,-58.5535591997
607885.148272,4064646.49997,-60.9011300671
609085.148272,4064646.49997,-44.8572691391
609085.148272,4059646.18666,-31.0767886894
612085.148272,4058455.63587,-35.8556022006
