x,y,z
602491.127112,4075323.5962,-117.704293964
601740.26897,4075327.5913,-127.766659916
602114.987398,4075858.51944,-125.723152269
602116.076587,4074788.39926,-164.157891282
602863.596721,4075820.97393,-61.7220213184
605896.013711,4070516.31664,-14.4991321461
605140.004963,4070516.38069,-19.9253555208
605518.094942,4071050.70749,-18.6199185551
605518.02692,4069981.74417,-11.1074416413
606273.997261,4069981.725,-3.28503481248
604384.069286,4069447.14149,-22.0459389106
603628.091829,4069447.20256,-29.7243661998
604006.048712,4069981.79904,-28.1111545423
604006.101465,4068912.62516,-24.3110753914
604762.068288,4068912.60812,-17.0079107151
605140.049379,4069447.15403,-13.3998525592
604762.042294,4069981.77663,-18.5265382279
602872.091613,4069447.1912,-39.2377033934
602116.088845,4069447.28323,-56.2840988367
602494.178233,4069981.59608,-47.6751355787
602494.089194,4068912.64781,-42.9818210497
603250.104142,4068912.62735,-31.7225851453
603250.116595,4069981.88123,-39.7750661372
605502.190049,4072020.94316,-31.512638734
604756.671339,4072199.74643,-199.755855374
605138.143641,4072725.27043,-179.601046802
605138.988448,4071586.47614,-16.4512987752
603249.670243,4071051.99159,-39.1659109452
602494.18157,4071053.32787,-73.8659776989
602870.933233,4071591.02747,-101.702015093
602872.156747,4070516.72388,-51.4525883271
603627.918955,4070516.36867,-44.186561267
604009.933665,4071144.8114,-45.227990447
603627.969144,4071596.24677,-91.7773292821
595688.681089,4075321.0917,-224.130965369
594932.945808,4075320.98773,-247.55655831
595310.912471,4075856.80882,-210.354265282
595404.465657,4074918.06832,-255.312394763
596066.455695,4074784.83353,-242.249300914
596444.493719,4075321.65618,-195.127753465
596066.825731,4075857.40151,-183.264126302
594271.299596,4075454.56169,-258.337706962
594556.743829,4075062.32007,-269.778774178
594179.870763,4074798.17026,-290.135460683
594555.08495,4075856.54908,-233.232438948
595691.417385,4073730.23496,-320.858495905
596068.894245,4073194.80387,-350.733366084
595312.858936,4073193.50749,-355.374745686
595690.534045,4072657.84888,-380.675719406
594179.1469,4073727.68571,-338.454939626
594556.861773,4073192.59095,-358.741437219
594178.684153,4072656.75555,-378.384805427
594177.232714,4076391.85514,-221.502885334
600982.984736,4075327.35715,-71.9524193436
600245.205292,4075220.97393,-71.898131502
600604.547262,4075861.29047,-71.8657266538
600604.714317,4074791.31356,-63.8251197288
601361.074367,4074789.35622,-126.11601287
601361.065682,4075860.22742,-80.0734547033
599848.31605,4074792.40383,-72.969406479
599091.741202,4074792.03249,-84.2543252995
599470.399954,4075326.86899,-78.2057079912
599469.829055,4074255.36016,-66.5486157568
600227.242301,4074251.28804,-95.5441650836
600982.724988,4073428.96252,-232.51734986
600623.904577,4073190.93845,-266.033752563
600499.55211,4073720.97393,-198.194280448
601372.937623,4073776.3607,-168.462210393
601356.454564,4073206.24978,-342.599638445
600986.745206,4072651.60066,-353.301272118
600225.889031,4071866.08027,-245.795686263
599933.281671,4071505.52968,-206.95429718
599779.925332,4072159.32559,-348.407848646
600605.320403,4071609.3854,-183.324576397
600606.400309,4072182.81576,-329.169665654
600228.239782,4072657.32358,-374.224790349
599088.254042,4073697.25638,-183.507065523
598331.632245,4073792.10682,-226.633696015
598711.453037,4074250.83148,-133.18976909
598714.484073,4073457.59975,-268.688051356
599091.926874,4073134.9569,-352.657599352
599586.661155,4073439.70822,-243.856882911
599851.963273,4073700.29406,-140.34504906
597199.699281,4074247.17194,-237.137684902
596538.24539,4074381.70594,-253.287933225
596822.088674,4074785.12356,-211.871062832
596824.603222,4073997.82435,-274.397754428
597205.062578,4073648.77862,-295.156183337
597674.719476,4073846.65838,-256.345686471
597955.158172,4074247.69336,-194.388741606
597577.948396,4074786.46648,-172.214819934
597201.423641,4076394.41379,-117.256909103
596445.178212,4076393.50051,-146.304787598
596823.574655,4076929.13054,-115.305763482
596822.905828,4075858.38122,-152.17666705
597579.2263,4075859.62486,-119.256072071
597957.783458,4076395.21951,-90.9585372795
598713.723424,4075326.33661,-88.6643156989
597956.934295,4075324.67802,-121.362741761
598335.740595,4075860.72486,-90.4306766678
598334.426834,4074789.17649,-124.25833409
602129.929962,4071595.70659,-140.367364754
601360.855564,4071604.24449,-194.95451213
601733.868039,4072126.16229,-235.516582451
601738.321211,4071056.7153,-70.8369044079
602430.367621,4072140.66573,-191.059928491
600603.440197,4069447.12695,-88.7652096486
599845.87547,4069447.93541,-133.252707863
600224.285444,4069981.35641,-108.541193584
600225.09945,4068913.08869,-102.481622153
600981.802412,4068912.64921,-72.6147976197
601359.997366,4069446.94123,-64.2269231671
600928.650571,4070032.77234,-78.4122800448
602116.087398,4068378.07154,-46.7178629437
601359.989607,4068378.09597,-60.6975627608
601738.069057,4068912.63528,-55.6155891894
601738.069652,4067843.4929,-52.2972888054
602494.103457,4067843.47984,-40.4510514089
602872.107039,4068378.06089,-35.4166025668
598428.000038,4069319.4237,-257.939430529
598046.292114,4068792.00986,-244.921346543
597962.259567,4069437.25079,-302.51359155
598710.501111,4068918.78008,-207.063467139
599087.313424,4069451.44682,-202.079765668
598803.616322,4069852.23212,-255.776417241
598342.266569,4069970.93078,-326.59205391
596825.144225,4069977.45042,-380.253761087
597204.226697,4069439.90716,-337.143994798
596447.432443,4069441.90471,-356.099844745
596826.459168,4068904.77135,-311.522345572
599847.082522,4068379.27802,-111.569270811
599090.241614,4068381.57975,-151.638503529
599467.768495,4068914.836,-148.860286046
599469.403912,4067845.3941,-111.513768733
598713.85055,4072657.99924,-388.699143267
599093.550263,4072114.18934,-371.787662509
598337.266575,4072119.86957,-400.473641383
598718.536818,4071579.55485,-365.872781521
597202.424169,4072659.4519,-383.060412785
597580.524079,4072121.66257,-409.936955518
596824.341425,4072122.00634,-408.069648253
597202.575923,4071585.60779,-419.985982334
595690.368868,4071586.00778,-411.2264598
596068.429753,4071050.25563,-414.940475696
595312.442283,4071050.49818,-409.937049814
595690.550516,4070514.77428,-404.811317598
594178.539082,4071585.99456,-400.310366876
594556.510576,4071050.65887,-404.956628031
594178.617715,4070515.46196,-399.416008073
594556.718906,4069979.97145,-390.724518414
594934.952274,4069444.2075,-373.390131036
594178.9074,4069444.89505,-377.380026876
594557.198674,4068909.18187,-356.570962163
595977.070509,4067968.71257,-279.835405107
596448.750839,4068369.99128,-288.28646249
596443.11534,4067763.60796,-249.526519533
596069.754528,4068906.69587,-332.589044927
595692.081441,4068371.84754,-311.248475962
594463.900368,4066903.11659,-274.575734632
594937.230566,4067390.58747,-281.977106258
594932.585044,4066779.91209,-254.83655412
594557.942211,4067838.6679,-311.881354252
594180.158337,4067304.24932,-298.216417828
596066.535535,4066243.71621,-187.248504962
595310.56712,4066244.24538,-218.917860007
595688.375297,4066779.76538,-227.126813478
595688.741503,4065708.42386,-183.9196713
596444.877068,4065707.70581,-150.437950137
596822.721974,4066242.88869,-151.237764506
596444.303256,4066779.23865,-193.844918738
594554.928753,4065173.86287,-210.337925022
594176.86022,4065709.26119,-239.381234155
594177.082285,4064638.92439,-208.449414465
594933.108342,4064638.4655,-182.992759522
595310.936995,4065173.3534,-182.845885734
594932.754096,4065708.95457,-213.596860745
596067.551144,4064102.63083,-133.417904009
595311.35803,4064103.19462,-158.683061495
595689.223449,4064637.86543,-155.61146881
595689.625252,4063568.12813,-138.187467727
596445.845279,4063567.69945,-116.518205238
596823.829261,4064102.09516,-110.161902953
596445.446964,4064637.1616,-127.412186979
600604.017327,4067309.17559,-72.2591198811
599847.960672,4067309.76022,-87.2086318251
600225.733243,4067844.10746,-86.8806816731
600226.140036,4066774.70237,-74.6603273986
600982.134332,4066774.40486,-64.9931632415
601360.073337,4067308.9357,-58.8782192039
600981.960016,4067843.62102,-67.1712981784
602116.127241,4066239.77405,-52.3505112526
601360.101401,4066239.86559,-62.1135411999
601738.103511,4066774.31053,-54.6479847461
601738.156068,4065705.38143,-56.7846742387
602494.125772,4065705.39155,-50.2497615043
602872.062891,4066239.76242,-42.5562600524
602494.09743,4066774.3039,-44.1966425805
600604.233729,4065170.87257,-64.8978858775
599848.265118,4065170.82462,-71.0135889839
600226.264559,4065705.44545,-68.9324669845
600226.425087,4064648.05434,-67.5672757083
600982.201409,4064636.32871,-60.5157208335
601360.189462,4065170.89328,-58.6019844486
600982.217768,4065705.44736,-63.6115014705
602116.183605,4064101.72211,-50.0987864804
601360.180097,4064101.73555,-56.1256252207
